	T0A	T0B	T14A	T14B
ENSG00000160014	17098	8381	8335	7580
ENSG00000160049	3267	2189	2832	2863
ENSG00000160050	287	118	140	134
ENSG00000160051	68	24	70	56
ENSG00000160055	476	272	276	253
ENSG00000160058	4179	2410	4257	4184
ENSG00000160062	357	313	295	297
ENSG00000160072	833	415	460	404
ENSG00000160075	7406	4573	5552	5326
ENSG00000160087	2004	1015	1365	1262
ENSG00000160094	1568	814	838	756
ENSG00000160097	270	139	14	10
ENSG00000160111	28	12	10	22
ENSG00000160113	1109	667	1333	1141
ENSG00000160117	11	17	14	6
ENSG00000160124	650	535	502	565
ENSG00000160131	1080	920	1682	1812
ENSG00000160145	338	199	207	213
ENSG00000160161	661	304	20	10
ENSG00000160172	83	70	83	68
ENSG00000160179	4	2	3949	3543
ENSG00000160180	2	0	6	0
ENSG00000160181	0	0	0	0
ENSG00000160182	0	0	0	0
ENSG00000160183	0	0	0	0
ENSG00000160185	0	0	0	2
ENSG00000160188	5	8	2	4
ENSG00000160190	75	82	58	48
ENSG00000160191	6	0	27	25
ENSG00000160193	896	461	666	573
ENSG00000160194	2012	1244	2647	2466
ENSG00000160199	1520	960	1100	1166
ENSG00000160200	233	117	97	83
ENSG00000160201	15	14	14	12
ENSG00000160202	0	0	0	0
ENSG00000160207	59	29	23	7
ENSG00000160208	2268	1460	2114	2237
ENSG00000160209	6023	3221	13676	11501
ENSG00000160211	9706	4685	12615	10294
ENSG00000160213	6214	3669	13509	12845
ENSG00000160214	1393	750	1153	1024
ENSG00000160216	4449	2684	5095	4666
ENSG00000160218	3325	1881	2658	2554
ENSG00000160219	157	114	392	419
ENSG00000160221	0	2	1	3
ENSG00000160223	0	0	0	2
ENSG00000160224	0	0	0	0
ENSG00000160226	116	67	215	156
ENSG00000160229	12	7	31	18
ENSG00000160233	238	124	295	307
ENSG00000160255	61	26	74	66
ENSG00000160256	454	240	354	269
ENSG00000160271	1351	728	1080	955
ENSG00000160282	13	5	6	8
ENSG00000160284	348	148	138	86
ENSG00000160285	8513	4467	31426	26513
ENSG00000160293	1910	1156	855	752
ENSG00000160294	5053	3062	3477	3337
ENSG00000160298	89	76	109	120
ENSG00000160299	2882	1838	2142	1934
ENSG00000160305	1626	967	1629	1349
ENSG00000160307	0	0	580	607
ENSG00000160310	8410	4463	4241	3973
ENSG00000160318	14	2	42	48
ENSG00000160321	38	33	41	61
ENSG00000160323	158	108	163	142
ENSG00000160325	584	298	240	180
ENSG00000160326	607	313	2700	2099
ENSG00000160336	781	516	720	820
ENSG00000160339	0	0	34	28
ENSG00000160345	78	37	84	93
ENSG00000160349	4	0	0	0
ENSG00000160352	250	185	288	296
ENSG00000160360	1057	542	498	363
ENSG00000160392	395	220	372	290
ENSG00000160396	6	9	10	2
ENSG00000160401	77	48	79	92
ENSG00000160404	438	195	239	264
ENSG00000160408	3287	1872	7102	6461
ENSG00000160410	2806	1251	833	751
ENSG00000160439	192	98	398	427
ENSG00000160445	3009	1485	2340	2061
ENSG00000160446	369	137	286	209
ENSG00000160447	74	49	36	30
ENSG00000160460	26	34	33	14
ENSG00000160469	143	68	42	32
ENSG00000160471	0	0	2	2
ENSG00000160472	3	1	2	0
ENSG00000160505	0	0	0	0
ENSG00000160539	458	249	430	293
ENSG00000160551	6864	5098	7326	7803
ENSG00000160563	990	589	449	426
ENSG00000160570	882	407	355	324
ENSG00000160584	3360	1875	2086	1989
ENSG00000160588	21	14	8	2
ENSG00000160593	0	0	0	0
ENSG00000160602	156	93	193	189
ENSG00000160606	143	79	237	206
ENSG00000160613	2755	1587	2051	1884
ENSG00000160633	3773	2228	2952	2822
ENSG00000160654	0	0	0	0
ENSG00000160678	20	10	22	24
ENSG00000160679	3603	2168	2286	2214
ENSG00000160683	0	4	0	0
ENSG00000160685	1537	757	3847	3094
ENSG00000160688	1329	759	1215	1158
ENSG00000160691	16225	8706	11535	10491
ENSG00000160695	2683	1385	2548	2559
ENSG00000160703	921	443	1038	809
ENSG00000160710	17795	10441	11717	11907
ENSG00000160712	143	96	325	365
ENSG00000160714	3740	2217	4257	3986
ENSG00000160716	2	2	2	4
ENSG00000160741	1655	788	1223	995
ENSG00000160746	3975	2674	3802	3533
ENSG00000160752	3688	2276	10767	10210
ENSG00000160753	1403	712	821	654
ENSG00000160766	134	68	57	55
ENSG00000160767	1950	813	2138	1800
ENSG00000160781	58	17	19	18
ENSG00000160783	526	274	222	210
ENSG00000160785	1713	913	3500	3347
ENSG00000160789	19100	10087	16828	13303
ENSG00000160791	0	0	0	0
ENSG00000160796	225	126	315	268
ENSG00000160799	934	519	680	627
ENSG00000160801	11	12	714	613
ENSG00000160803	1787	983	1493	1358
ENSG00000160808	4	0	65	74
ENSG00000160813	113	58	50	36
ENSG00000160818	1627	944	1658	1512
ENSG00000160838	85	52	9	4
ENSG00000160856	0	0	0	0
ENSG00000160862	0	0	3603	3601
ENSG00000160867	75	36	20	16
ENSG00000160868	0	0	3	2
ENSG00000160870	0	0	9	2
ENSG00000160877	2511	1256	2021	1476
ENSG00000160882	0	0	0	0
ENSG00000160883	2	6	0	0
ENSG00000160886	17	6	18	11
ENSG00000160888	867	494	549	546
ENSG00000160908	674	414	593	625
ENSG00000160917	1998	1088	908	810
ENSG00000160932	6708	2973	2947	2398
ENSG00000160948	3313	1617	1769	1412
ENSG00000160949	190	97	108	86
ENSG00000160951	10	2	0	2
ENSG00000160953	1763	1144	1033	1004
ENSG00000160957	138	77	114	90
ENSG00000160959	775	353	880	746
ENSG00000160961	883	599	631	549
ENSG00000160963	0	0	2	0
ENSG00000160972	130	68	203	133
ENSG00000160973	0	2	2	6
ENSG00000160991	2498	1467	864	787
ENSG00000160993	290	171	332	278
ENSG00000160994	0	0	0	0
ENSG00000160999	22	18	38	18
ENSG00000161010	477	326	469	415
ENSG00000161011	20856	12080	10818	9121
ENSG00000161013	4965	2839	3005	2696
ENSG00000161016	57935	28977	34440	29868
ENSG00000161021	3438	2095	1993	1988
ENSG00000161031	0	0	4	0
ENSG00000161036	516	260	399	310
ENSG00000161040	14	7	8	18
ENSG00000161048	436	324	821	766
ENSG00000161055	0	0	0	0
ENSG00000161057	5238	3224	5265	5551
ENSG00000161082	6	2	0	0
ENSG00000161091	1471	712	1597	1294
ENSG00000161103	0	0	0	0
ENSG00000161132	6	0	10	9
ENSG00000161133	0	0	0	0
ENSG00000161149	15	16	3	7
ENSG00000161179	432	214	117	112
ENSG00000161180	14	12	7	11
ENSG00000161202	11804	6383	6344	6031
ENSG00000161203	58250	30625	24623	21978
ENSG00000161204	2205	1265	2920	2594
ENSG00000161217	5380	3642	6322	5963
ENSG00000161243	66	53	505	392
ENSG00000161249	171	91	659	563
ENSG00000161265	121	57	58	50
ENSG00000161267	54	20	745	663
ENSG00000161270	0	0	0	0
ENSG00000161277	394	182	382	371
ENSG00000161281	522	313	2327	1886
ENSG00000161298	95	70	222	215
ENSG00000161328	39	15	19	14
ENSG00000161381	226	139	26	31
ENSG00000161395	500	268	540	517
ENSG00000161405	0	0	0	0
ENSG00000161509	4	12	9	10
ENSG00000161513	672	355	780	579
ENSG00000161526	2740	1511	1865	1840
ENSG00000161533	2446	1589	12175	11942
ENSG00000161542	3471	2244	2429	2470
ENSG00000161544	73	22	382	345
ENSG00000161547	3044	2255	2523	2588
ENSG00000161551	105	87	170	180
ENSG00000161558	161	77	329	334
ENSG00000161594	9	1	104	108
ENSG00000161609	0	0	0	0
ENSG00000161610	0	0	0	0
ENSG00000161618	297	150	1080	807
ENSG00000161634	0	0	1	0
ENSG00000161638	66061	37445	15754	14929
ENSG00000161640	0	0	0	0
ENSG00000161642	457	290	4370	3667
ENSG00000161643	2	2	0	2
ENSG00000161647	279	154	349	330
ENSG00000161649	0	0	0	0
ENSG00000161652	0	0	0	0
ENSG00000161653	53	31	31	21
ENSG00000161654	185	133	159	148
ENSG00000161664	29	19	34	37
ENSG00000161671	2329	1182	2767	2258
ENSG00000161677	654	274	349	318
ENSG00000161681	63	34	11	23
ENSG00000161682	135	58	91	45
ENSG00000161692	181	100	91	135
ENSG00000161714	1766	982	1490	1244
ENSG00000161791	3006	1793	1056	1039
ENSG00000161798	4	0	0	0
ENSG00000161800	1214	879	989	1002
ENSG00000161807	0	0	0	0
ENSG00000161813	1829	1573	4358	4647
ENSG00000161835	193	129	106	43
ENSG00000161847	605	251	305	238
ENSG00000161849	0	0	2	0
ENSG00000161850	0	0	0	0
ENSG00000161860	13	2	22	17
ENSG00000161888	88	64	93	116
ENSG00000161896	0	0	48	59
ENSG00000161904	2739	1544	1691	1527
ENSG00000161905	0	0	0	2
ENSG00000161911	0	0	0	0
ENSG00000161912	120	79	231	231
ENSG00000161914	100	39	70	46
ENSG00000161920	408	205	634	520
ENSG00000161921	82	28	94	82
ENSG00000161929	1	2	1	3
ENSG00000161939	0	0	0	0
ENSG00000161940	8	2	0	2
ENSG00000161944	0	0	0	0
ENSG00000161955	55	30	79	63
ENSG00000161956	667	416	590	509
ENSG00000161958	19	7	14	12
ENSG00000161960	144	97	113	103
ENSG00000161970	10353	6460	6254	6320
ENSG00000161973	2	5	0	0
ENSG00000161980	335	158	490	488
ENSG00000161981	853	393	827	763
ENSG00000161992	0	0	0	0
ENSG00000161996	249	126	183	104
ENSG00000161999	699	297	872	708
ENSG00000162004	23	10	11	6
ENSG00000162006	0	0	0	0
ENSG00000162009	0	0	0	0
ENSG00000162032	5	0	2	2
ENSG00000162039	0	6	2	2
ENSG00000162040	0	0	0	0
ENSG00000162062	32	16	40	33
ENSG00000162063	343	179	318	272
ENSG00000162065	547	280	813	603
ENSG00000162066	245	88	273	190
ENSG00000162068	2	0	0	1
ENSG00000162069	0	0	4	0
ENSG00000162073	34	12	42	39
ENSG00000162076	676	318	873	692
ENSG00000162078	0	0	0	0
ENSG00000162086	656	492	590	609
ENSG00000162104	2894	1635	1305	1255
ENSG00000162105	608	336	151	147
ENSG00000162129	1116	537	1322	1245
ENSG00000162139	581	395	484	497
ENSG00000162144	3303	1691	2565	2204
ENSG00000162148	34	24	22	15
ENSG00000162174	29	6	6	6
ENSG00000162188	7	4	3	2
ENSG00000162191	4367	2248	3391	3023
ENSG00000162194	142	72	3412	3289
ENSG00000162222	1431	817	843	817
ENSG00000162227	375	178	575	506
ENSG00000162231	4147	2339	3140	3145
ENSG00000162236	4324	2399	1590	1552
ENSG00000162241	129	81	569	398
ENSG00000162244	26553	14492	23796	21769
ENSG00000162267	20	8	260	198
ENSG00000162298	2943	1449	2745	2303
ENSG00000162300	303	132	133	96
ENSG00000162302	1432	784	1294	1050
ENSG00000162337	3694	1809	4667	3522
ENSG00000162341	693	430	602	566
ENSG00000162344	4	0	0	0
ENSG00000162365	0	0	4	0
ENSG00000162366	0	0	4	6
ENSG00000162367	6	14	0	2
ENSG00000162368	4313	4161	6377	6381
ENSG00000162373	12	10	10	11
ENSG00000162374	0	0	0	0
ENSG00000162377	1862	1201	2603	2670
ENSG00000162378	2216	1866	4480	4614
ENSG00000162383	213	101	74	68
ENSG00000162384	2900	1564	1730	1553
ENSG00000162385	1308	870	848	739
ENSG00000162390	34	17	5	4
ENSG00000162391	2	0	44	53
ENSG00000162396	425	252	374	409
ENSG00000162398	0	0	0	0
ENSG00000162399	0	0	0	0
ENSG00000162402	4123	2736	8116	8187
ENSG00000162407	6723	3788	23401	22990
ENSG00000162408	980	626	775	890
ENSG00000162409	88	101	86	86
ENSG00000162413	3751	1983	6613	5703
ENSG00000162415	12	4	29	23
ENSG00000162419	806	601	574	548
ENSG00000162426	76	24	87	75
ENSG00000162430	9966	5027	4793	4387
ENSG00000162433	1627	1371	8759	9209
ENSG00000162434	30084	20043	18039	18329
ENSG00000162437	304	242	440	459
ENSG00000162438	0	0	0	0
ENSG00000162441	1805	1330	1299	1264
ENSG00000162444	28	24	4	4
ENSG00000162456	0	0	0	1
ENSG00000162458	7526	3990	1919	1789
ENSG00000162460	0	0	1	0
ENSG00000162461	45	7	21	13
ENSG00000162482	10	6	17	11
ENSG00000162490	2	0	0	0
ENSG00000162493	3578	2085	1613	1562
ENSG00000162494	2	0	10	2
ENSG00000162496	4413	2314	3887	3378
ENSG00000162510	4	4	3	0
ENSG00000162511	22	12	37	24
ENSG00000162512	9602	5371	5465	5000
ENSG00000162517	4595	2606	2689	2576
ENSG00000162520	4626	2831	1053	1009
ENSG00000162521	5781	4153	4583	4590
ENSG00000162522	2436	1194	463	426
ENSG00000162526	6	10	17	5
ENSG00000162542	691	385	1329	1294
ENSG00000162543	26	22	0	0
ENSG00000162545	195	98	302	291
ENSG00000162551	18295	9591	12045	10584
ENSG00000162552	22	10	12	16
ENSG00000162571	0	0	0	0
ENSG00000162572	28	18	50	32
ENSG00000162576	27098	14179	12525	10449
ENSG00000162585	950	456	716	569
ENSG00000162591	3703	1649	117	91
ENSG00000162592	0	0	0	0
ENSG00000162594	0	0	0	0
ENSG00000162595	26	22	17	37
ENSG00000162598	0	0	10	14
ENSG00000162599	1163	776	2738	2672
ENSG00000162600	761	645	698	719
ENSG00000162601	1156	954	1083	968
ENSG00000162604	887	626	1296	1375
ENSG00000162607	1523	1323	903	1049
ENSG00000162613	4541	2781	2837	2855
ENSG00000162614	10223	8064	5855	6426
ENSG00000162616	1809	1785	5277	5613
ENSG00000162618	932	927	511	500
ENSG00000162620	4	10	16	21
ENSG00000162621	0	0	0	4
ENSG00000162623	1423	1125	1510	1646
ENSG00000162624	4	6	0	4
ENSG00000162627	2285	1794	1122	1140
ENSG00000162630	122	82	247	205
ENSG00000162631	841	645	119	96
ENSG00000162636	847	731	1014	1009
ENSG00000162639	529	368	240	227
ENSG00000162641	1	0	15	15
ENSG00000162642	790	577	875	780
ENSG00000162643	39	20	68	90
ENSG00000162645	1602	1011	2391	2594
ENSG00000162650	272	155	219	214
ENSG00000162654	15	12	4	10
ENSG00000162664	1208	928	1333	1389
ENSG00000162669	4	10	14	17
ENSG00000162670	0	0	0	0
ENSG00000162676	2	0	5	4
ENSG00000162685	6	1	0	2
ENSG00000162687	127	87	104	96
ENSG00000162688	122	179	197	237
ENSG00000162692	45	57	496	508
ENSG00000162694	877	671	1317	1405
ENSG00000162695	1365	1169	1051	1034
ENSG00000162699	0	0	0	0
ENSG00000162702	11041	8515	1306	1247
ENSG00000162704	12372	9581	5743	5643
ENSG00000162706	193	70	7976	7534
ENSG00000162711	0	0	0	2
ENSG00000162714	2250	1375	699	711
ENSG00000162722	11	18	7	8
ENSG00000162723	1	0	0	0
ENSG00000162727	0	0	0	0
ENSG00000162728	2	4	0	0
ENSG00000162729	525	195	1483	1091
ENSG00000162733	26774	18355	21117	21468
ENSG00000162734	42720	22112	24684	24674
ENSG00000162735	2181	1401	11046	10841
ENSG00000162736	9633	5471	10373	10057
ENSG00000162738	76	67	8	8
ENSG00000162739	0	0	0	0
ENSG00000162745	1172	638	634	486
ENSG00000162746	27	24	327	306
ENSG00000162747	0	0	0	0
ENSG00000162753	0	0	6	3
ENSG00000162755	6	8	4	6
ENSG00000162757	174	88	133	129
ENSG00000162761	4	0	0	0
ENSG00000162763	0	0	0	0
ENSG00000162769	176	152	874	829
ENSG00000162771	0	0	0	0
ENSG00000162772	901	587	332	330
ENSG00000162775	500	321	441	456
ENSG00000162777	223	118	172	157
ENSG00000162779	11	2	6	4
ENSG00000162782	0	0	4	2
ENSG00000162783	1891	1352	1037	1046
ENSG00000162804	502	252	1606	1325
ENSG00000162813	1223	748	1255	1204
ENSG00000162814	24	25	28	28
ENSG00000162817	292	183	719	686
ENSG00000162819	1875	1661	1220	1298
ENSG00000162825	137	84	118	105
ENSG00000162836	295	160	410	386
ENSG00000162840	15	7	19	13
ENSG00000162843	0	0	0	2
ENSG00000162849	7806	4372	2659	2422
ENSG00000162851	1066	885	1152	1213
ENSG00000162852	3189	2222	1544	1510
ENSG00000162869	1538	1128	1225	1327
ENSG00000162873	0	0	1	0
ENSG00000162877	16	10	356	452
ENSG00000162878	6643	3375	7233	6544
ENSG00000162881	0	2	0	0
ENSG00000162882	17	8	10	0
ENSG00000162885	1200	785	898	869
ENSG00000162888	4	4	6	2
ENSG00000162889	7280	4006	5917	5493
ENSG00000162891	0	0	0	2
ENSG00000162892	0	0	2	3
ENSG00000162894	2	0	2	6
ENSG00000162896	1	0	0	0
ENSG00000162897	0	0	0	0
ENSG00000162909	34831	23274	15339	14878
ENSG00000162910	653	288	490	437
ENSG00000162913	2	4	4	2
ENSG00000162923	6991	5202	7693	8058
ENSG00000162924	204	120	169	125
ENSG00000162927	320	334	186	228
ENSG00000162928	1311	911	1038	1119
ENSG00000162929	404	305	456	460
ENSG00000162931	26	9	15	9
ENSG00000162944	124	152	420	406
ENSG00000162946	44	40	24	38
ENSG00000162947	0	0	0	0
ENSG00000162949	0	0	0	0
ENSG00000162951	2	4	0	0
ENSG00000162959	21	12	25	21
ENSG00000162961	1195	748	713	740
ENSG00000162971	326	294	381	398
ENSG00000162972	592	426	725	735
ENSG00000162975	0	0	2	0
ENSG00000162976	1168	760	1265	1449
ENSG00000162980	461	540	619	652
ENSG00000162981	67	38	52	38
ENSG00000162989	1	0	8	8
ENSG00000162992	0	0	0	0
ENSG00000162994	178	141	113	149
ENSG00000162997	45	38	52	57
ENSG00000162998	0	4	160	180
ENSG00000162999	44	41	82	72
ENSG00000163001	1963	1424	1444	1389
ENSG00000163002	330	293	391	401
ENSG00000163006	156	90	132	120
ENSG00000163009	5	0	0	2
ENSG00000163012	0	0	4	4
ENSG00000163013	246	156	108	128
ENSG00000163016	10	2	6	1
ENSG00000163017	167	69	37	50
ENSG00000163026	574	343	749	842
ENSG00000163029	2683	1895	1679	1718
ENSG00000163032	11	8	0	4
ENSG00000163040	177	133	69	75
ENSG00000163041	262	237	209	228
ENSG00000163046	0	0	0	0
ENSG00000163050	654	373	4751	4282
ENSG00000163053	6	2	9	10
ENSG00000163060	33	7	19	22
ENSG00000163064	1080	661	1147	1038
ENSG00000163069	3864	2653	4731	4784
ENSG00000163071	545	471	1060	1162
ENSG00000163072	7	5	15	21
ENSG00000163075	7	13	45	52
ENSG00000163081	8	6	4	2
ENSG00000163082	12	1	15	8
ENSG00000163083	2	2	1967	1868
ENSG00000163092	0	2	0	0
ENSG00000163093	161	91	157	166
ENSG00000163098	0	0	0	0
ENSG00000163104	2083	1600	1496	1639
ENSG00000163106	2	2	4	6
ENSG00000163110	8109	5205	6898	7377
ENSG00000163114	0	0	0	2
ENSG00000163116	3	0	2	0
ENSG00000163121	0	0	0	0
ENSG00000163125	3077	1878	2320	2366
ENSG00000163126	20	5	22	17
ENSG00000163131	149	122	90	64
ENSG00000163132	554	312	685	614
ENSG00000163138	592	466	393	391
ENSG00000163141	12	4	8	15
ENSG00000163145	17	12	51	50
ENSG00000163154	2	2	2	4
ENSG00000163155	581	323	430	408
ENSG00000163156	1318	704	856	792
ENSG00000163157	0	0	0	0
ENSG00000163159	1812	1013	1265	1138
ENSG00000163161	2884	1632	2224	2219
ENSG00000163162	1618	1307	1573	1452
ENSG00000163166	3750	2418	2486	2647
ENSG00000163170	588	340	985	981
ENSG00000163171	5021	3509	4249	4301
ENSG00000163191	34856	18776	16124	15228
ENSG00000163202	0	0	0	0
ENSG00000163206	0	0	0	0
ENSG00000163207	0	0	0	0
ENSG00000163209	0	0	0	0
ENSG00000163214	1584	976	1031	977
ENSG00000163216	0	0	0	0
ENSG00000163217	0	0	0	0
ENSG00000163218	0	0	0	0
ENSG00000163219	8	2	2	6
ENSG00000163220	0	0	0	0
ENSG00000163221	0	0	0	0
ENSG00000163235	0	0	2	0
ENSG00000163239	0	2	4	0
ENSG00000163249	1383	1121	974	1043
ENSG00000163251	43	12	648	490
ENSG00000163254	0	0	0	0
ENSG00000163257	1462	1127	1140	1119
ENSG00000163263	2	2	1	2
ENSG00000163273	0	0	0	0
ENSG00000163281	883	707	966	909
ENSG00000163283	1	0	0	0
ENSG00000163285	0	0	0	0
ENSG00000163286	0	0	0	0
ENSG00000163288	0	0	0	0
ENSG00000163291	648	536	458	478
ENSG00000163293	3	0	2	6
ENSG00000163295	0	0	0	0
ENSG00000163297	7220	4677	11763	11749
ENSG00000163312	541	448	557	615
ENSG00000163319	469	335	457	513
ENSG00000163320	4178	3759	4332	4758
ENSG00000163322	588	444	351	327
ENSG00000163328	222	146	716	784
ENSG00000163331	1	0	1	0
ENSG00000163344	1063	707	1810	1598
ENSG00000163346	4026	2266	4386	3950
ENSG00000163347	2	0	5	4
ENSG00000163348	1608	826	1529	1424
ENSG00000163349	4020	2722	3961	4135
ENSG00000163352	0	0	0	0
ENSG00000163354	7	8	6	0
ENSG00000163357	4	0	13	3
ENSG00000163359	533209	317012	201377	189998
ENSG00000163362	16	5	0	0
ENSG00000163364	1821	1355	432	449
ENSG00000163374	1972	1068	1432	1377
ENSG00000163376	44	52	52	69
ENSG00000163377	0	0	2	0
ENSG00000163378	2376	1796	1246	1281
ENSG00000163380	6	2	7	12
ENSG00000163382	1829	1045	1567	1466
ENSG00000163389	1181	869	1403	1474
ENSG00000163393	1603	1165	308	308
ENSG00000163394	0	0	0	0
ENSG00000163395	99	65	63	34
ENSG00000163399	21209	11691	10312	10447
ENSG00000163406	19	27	24	26
ENSG00000163412	1066	847	2132	2076
ENSG00000163421	0	0	0	2
ENSG00000163424	0	0	0	0
ENSG00000163428	1292	1326	2967	3185
ENSG00000163430	244524	162271	151864	158396
ENSG00000163431	7599	4259	5079	4719
ENSG00000163435	4	0	2	0
ENSG00000163440	0	0	0	0
ENSG00000163444	1533	960	1285	1204
ENSG00000163449	44	44	84	82
ENSG00000163453	10227	6505	15082	14880
ENSG00000163462	169	95	10	9
ENSG00000163463	119	50	103	75
ENSG00000163464	0	0	0	0
ENSG00000163466	28047	17976	14583	14176
ENSG00000163467	21	14	31	34
ENSG00000163468	20695	12562	14558	14541
ENSG00000163472	211	118	148	101
ENSG00000163479	17527	10167	7632	7337
ENSG00000163481	1419	691	889	813
ENSG00000163482	1377	826	1184	1089
ENSG00000163485	107	26	216	238
ENSG00000163491	154	109	17	29
ENSG00000163492	0	0	0	0
ENSG00000163497	0	0	0	0
ENSG00000163499	0	0	2	0
ENSG00000163501	0	0	0	5
ENSG00000163507	252	169	133	160
ENSG00000163508	0	2	0	0
ENSG00000163510	1434	973	1057	1120
ENSG00000163512	3895	2701	3673	3777
ENSG00000163513	8765	5404	29844	29542
ENSG00000163515	0	0	0	0
ENSG00000163516	1189	667	944	822
ENSG00000163517	675	420	1014	791
ENSG00000163518	0	0	0	0
ENSG00000163519	0	0	0	0
ENSG00000163520	24133	11220	52271	39520
ENSG00000163521	480	265	284	298
ENSG00000163527	10757	8735	9074	9275
ENSG00000163528	754	472	930	948
ENSG00000163530	0	0	0	0
ENSG00000163531	1471	756	4490	4358
ENSG00000163534	0	0	0	0
ENSG00000163535	218	229	228	240
ENSG00000163536	40	18	178	187
ENSG00000163539	1576	1124	2168	2238
ENSG00000163541	3489	2270	8075	8102
ENSG00000163545	501	322	138	126
ENSG00000163554	50	28	35	36
ENSG00000163558	1918	1532	1163	1092
ENSG00000163563	0	0	0	0
ENSG00000163564	3	1	12	10
ENSG00000163565	11880	8652	3766	3941
ENSG00000163568	14	26	2	4
ENSG00000163576	40	19	68	60
ENSG00000163577	348	369	366	445
ENSG00000163581	0	0	0	0
ENSG00000163584	2784	2736	966	999
ENSG00000163586	0	0	0	0
ENSG00000163590	98	99	1082	1034
ENSG00000163596	261	200	138	114
ENSG00000163597	2360	1511	2533	2501
ENSG00000163599	0	0	2	2
ENSG00000163600	0	0	5	0
ENSG00000163602	4218	3122	2979	2952
ENSG00000163605	2164	2225	2297	2283
ENSG00000163606	2	4	0	0
ENSG00000163607	536	568	425	406
ENSG00000163608	2163	1796	1664	1590
ENSG00000163611	523	426	356	333
ENSG00000163612	4	1	0	0
ENSG00000163617	133	107	78	107
ENSG00000163618	198	120	44	60
ENSG00000163623	0	0	0	0
ENSG00000163624	4	2	7	4
ENSG00000163625	4455	2984	4694	4958
ENSG00000163626	396	343	1035	988
ENSG00000163629	11645	7941	6438	6579
ENSG00000163630	2	0	0	0
ENSG00000163631	1	0	4	2
ENSG00000163632	8	6	13	9
ENSG00000163633	152	113	250	220
ENSG00000163634	2979	2026	2333	2612
ENSG00000163635	1625	979	1048	1108
ENSG00000163636	3366	2480	3672	3744
ENSG00000163637	3649	2384	2716	2835
ENSG00000163638	97	63	1244	1295
ENSG00000163644	289	194	454	361
ENSG00000163645	0	0	0	0
ENSG00000163646	0	0	0	0
ENSG00000163655	3422	2446	2488	2513
ENSG00000163659	855	651	4089	4105
ENSG00000163660	2632	1863	2614	2744
ENSG00000163661	18652	13189	76742	77941
ENSG00000163666	20	20	41	19
ENSG00000163673	32	44	32	28
ENSG00000163681	2094	1709	2041	2005
ENSG00000163682	35394	24546	22323	23495
ENSG00000163683	3241	2667	3396	3431
ENSG00000163684	740	572	940	828
ENSG00000163686	463	251	1066	966
ENSG00000163687	0	0	10	22
ENSG00000163689	152	113	38	39
ENSG00000163694	72	53	146	136
ENSG00000163697	6062	3798	4135	4002
ENSG00000163701	9	11	162	137
ENSG00000163702	1112	554	1694	1434
ENSG00000163703	355	197	1379	1115
ENSG00000163704	109	63	107	128
ENSG00000163705	0	0	0	0
ENSG00000163710	617	363	8390	8193
ENSG00000163714	3254	2642	3071	3265
ENSG00000163719	1764	978	1439	1456
ENSG00000163728	1456	1278	1683	1771
ENSG00000163734	18	2	10	18
ENSG00000163735	35	50	115	100
ENSG00000163736	0	0	0	0
ENSG00000163737	1	0	11	9
ENSG00000163738	103	68	225	200
ENSG00000163739	8	6	56	32
ENSG00000163743	996	773	649	619
ENSG00000163746	0	0	0	2
ENSG00000163749	12	7	35	39
ENSG00000163751	8	4	2	0
ENSG00000163754	4480	2852	1864	1937
ENSG00000163755	1380	962	1042	1096
ENSG00000163762	0	0	2	2
ENSG00000163781	1688	1126	1449	1486
ENSG00000163785	4454	3275	2957	2910
ENSG00000163788	781	555	805	856
ENSG00000163792	0	0	0	2
ENSG00000163793	0	0	0	0
ENSG00000163794	13	6	12	8
ENSG00000163795	525	314	555	434
ENSG00000163798	1596	1015	1489	1575
ENSG00000163803	71	43	15	12
ENSG00000163806	0	4	11	14
ENSG00000163807	774	585	889	1001
ENSG00000163808	180	125	87	74
ENSG00000163810	0	0	0	3
ENSG00000163811	3088	2042	2557	2640
ENSG00000163812	3279	1902	6596	6276
ENSG00000163814	197	99	20	13
ENSG00000163815	16	8	968	775
ENSG00000163817	1	0	3	0
ENSG00000163818	1340	1068	729	806
ENSG00000163820	2182	1342	4755	4408
ENSG00000163823	4	2	8	12
ENSG00000163825	0	0	0	0
ENSG00000163827	98	55	134	130
ENSG00000163832	1476	859	1148	1077
ENSG00000163833	0	0	0	0
ENSG00000163840	3636	2498	1524	1591
ENSG00000163848	2450	1824	1814	1891
ENSG00000163864	47	44	20	22
ENSG00000163866	2057	1183	2265	2114
ENSG00000163867	261	238	334	337
ENSG00000163870	1546	742	1554	1380
ENSG00000163872	3911	2145	2647	2579
ENSG00000163873	0	0	0	0
ENSG00000163874	611	299	597	460
ENSG00000163875	2189	1419	1254	1394
ENSG00000163877	908	603	809	943
ENSG00000163879	324	167	219	188
ENSG00000163882	2069	1211	1362	1278
ENSG00000163884	71	32	3238	2778
ENSG00000163885	4	0	2	4
ENSG00000163888	7	3	6	10
ENSG00000163898	2	0	4	4
ENSG00000163900	970	584	991	978
ENSG00000163902	18647	10092	13288	12438
ENSG00000163904	1513	1126	2026	2093
ENSG00000163909	5	4	107	84
ENSG00000163913	1360	797	1637	1567
ENSG00000163914	0	0	2	0
ENSG00000163915	1	0	0	0
ENSG00000163918	628	408	312	388
ENSG00000163923	336	166	130	129
ENSG00000163930	3972	2190	4476	3960
